timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ
1770765813987,,,-4.40595006942749,-4.5960001945495605
1770765813988,,7.497000217437744,,
1770765814009,2.36844563806054,6.462000370025635,-7.6650004386901855,-5.061000347137451
1770765814051,,,-6.12000036239624,-1.1290500164031982
1770765814052,,6.838050365447998,-3.7950000762939453,
1770765814069,,,,-6.466050148010254
1770765814070,4.3528978363814845,8.031000137329102,-3.553950071334839,
1770765814101,,6.66795015335083,-7.111950397491455,-6.969000339508057
1770765814116,,4.8510003089904785,-5.191050052642822,-2.889000177383423
1770765814129,,,,-3.496950149536133
1770765814130,1.7385750168728509,7.474950313568115,-5.5600504875183105,
1770765814155,,10.57800006866455,-5.008950233459473,-1.852950096130371
1770765814180,,,,-6.454050540924072
1770765814181,,7.36305046081543,-4.689000129699707,
1770765814210,,,,-5.109000205993652
1770765814211,,,-5.215050220489502,-3.7200002670288086
1770765814212,1.240161419021775,7.915950298309326,,
1770765814249,,,,-4.294950008392334
1770765814250,,9.015000343322754,-5.2009501457214355,
1770765814270,,5.7870001792907715,-3.400050163269043,-3.8779501914978027
1770765814272,4.2260552346934235,4.657050132751465,-2.7799501419067383,-1.7299500703811646
1770765814316,,,-5.050050258636475,0.4210500121116638
1770765814317,,6.0859503746032715,,
1770765814331,1.8825208509285916,8.74905014038086,-5.686950206756592,-2.8369500637054443
1770765814377,,,,-4.285050392150879
1770765814378,,8.181000709533691,-4.516050338745117,-2.6550002098083496
1770765814393,,3.3450002670288086,-11.48805046081543,-4.675050258636475
1770765814394,5.032081866946266,,,
1770765814429,,2.69100022315979,-6.12000036239624,-4.786050319671631
1770765814451,,4.597050189971924,-8.40195083618164,-3.876000165939331
1770765814475,,,,-2.6929500102996826
1770765814476,3.276307661763658,7.861050605773926,-6.669000148773193,-1.3830000162124634
1770765814518,,,,-3.4020001888275146
1770765814519,,2.742000102996826,-4.344000339508057,
1770765814535,,3.418950080871582,-2.6730000972747803,-4.491000175476074
1770765814536,4.875762488572501,,,
1770765814582,,10.794000625610352,-13.083000183105469,-3.5119502544403076
1770765814595,,,,-2.9350502490997314
1770765814596,6.324813767658036,10.530000686645508,1.1260499954223633,
1770765814649,,9.520050048828125,-3.2280001640319824,-11.81505012512207
1770765814662,,5.695950508117676,-7.191000461578369,-0.2050500065088272
1770765814663,5.9262556717223305,,,
1770765814704,,,,0.9670500755310059
1770765814705,,4.801050186157227,-5.227050304412842,-5.494050025939941
1770765814721,,7.554000377655029,-9.180000305175781,-10.16295051574707
1770765814738,,8.881050109863281,-6.640050411224365,-1.2490500211715698
1770765814739,1.7624648178593225,,,
1770765814765,,10.414950370788574,-9.37695026397705,0.3540000021457672
1770765814793,,9.313950538635254,-5.44005012512207,-2.6040000915527344
1770765814808,,,,-6.0259504318237305
1770765814809,2.8990487741957733,7.468050479888916,-4.975950241088867,
1770765814854,,,,-5.323950290679932
1770765814855,,5.167050361633301,-4.597949981689453,
1770765814859,,4.912950038909912,-0.3550500273704529,-3.4590001106262207
1770765814860,3.682712356442323,,,
1770765814923,,,,-7.024050235748291
1770765814924,,5.791950225830078,-3.204000234603882,-1.204050064086914
1770765814925,0.957841335690229,,,
1770765814981,,,-3.9750001430511475,-5.530050277709961
1770765814982,,7.91295051574707,-3.5299501419067383,
1770765814983,,6.769050121307373,,
1770765815001,,,-4.947000026702881,-1.8880500793457031
1770765815002,2.312569900693439,8.181000709533691,,
1770765815035,,,,-5.464950084686279
1770765815036,,8.320050239562988,-5.038050174713135,
1770765815065,,,,-8.506050109863281
1770765815066,2.3184010245640123,7.426950454711914,-4.750950336456299,-1.4599500894546509
1770765815096,,9.838050842285156,-5.638950347900391,-5.085000038146973
1770765815122,,,,-1.327950119972229
1770765815123,3.4384502137942463,6.721050262451172,-7.612050533294678,-3.0259501934051514
1770765815143,,8.204999923706055,-7.5259504318237305,-5.026950359344482
1770765815184,,,-4.999950408935547,-3.069000244140625
1770765815185,,5.509050369262695,-7.0489501953125,
1770765815186,1.3514339848977082,,,
1770765815256,,,,-1.0909500122070312
1770765815257,,6.987000465393066,-5.461950302124023,-3.4830002784729004
1770765815268,3.6160103713705487,3.8620502948760986,-5.731950283050537,-4.539000034332275
1770765815313,,,,-5.81505012512207
1770765815314,,6.841050148010254,-8.419050216674805,-3.9160501956939697
1770765815325,,,-2.2990500926971436,-5.782050132751465
1770765815326,3.6967326816435144,5.490000247955322,,
1770765815364,,,,-5.640000343322754
1770765815365,,4.437000274658203,-2.845050096511841,
1770765815386,,5.778000354766846,-8.151000022888184,-3.2119500637054443
1770765815387,2.718349208009709,,,
1770765815422,,,,-4.624950408935547
1770765815423,,7.354950428009033,-5.356950283050537,
1770765815447,,8.44005012512207,-6.013050079345703,-7.627950191497803
1770765815448,2.0622060161648954,,,
1770765815477,,5.860950469970703,-8.182050704956055,-2.5420501232147217
1770765815528,,5.077950477600098,-8.380949974060059,-3.7579500675201416
1770765815529,3.989415111265394,7.197000503540039,,
1770765815585,,10.261950492858887,-7.078050136566162,-4.033950328826904
1770765815588,,,,-2.3479502201080322
1770765815589,2.485338995701284,6.1870503425598145,-3.6090002059936523,
1770765815640,,,-4.82295036315918,-4.660950183868408
1770765815641,,4.189949989318848,-4.4730000495910645,
1770765815650,,3.6040501594543457,-3.0990002155303955,-5.005950450897217
1770765815651,3.2635019510391037,,,
1770765815697,,5.701050281524658,-4.4509501457214355,-6.045000076293945
1770765815713,,10.008000373840332,-5.110050201416016,-5.1060004234313965
1770765815714,2.8386207686202103,,,
1770765815729,,12.027000427246094,-5.47605037689209,-3.5329501628875732
1770765815753,,10.434000968933105,-4.435050010681152,-4.3309502601623535
1770765815786,,2.9239501953125,-3.3480000495910645,1.50600004196167
1770765815795,2.644412061972078,7.8409504890441895,-2.2920000553131104,-6.007050514221191
1770765815852,,2.69100022315979,-2.704050064086914,-3.145050048828125
1770765815853,4.237346662149498,,,
1770765815913,,,,-3.967050075531006
1770765815914,,8.193000793457031,-7.636050224304199,-2.899050235748291
1770765815915,2.501731368398719,,,
1770765815937,,6.498000144958496,-5.980950355529785,-2.2860000133514404
1770765815969,,7.669050216674805,-3.034050226211548,-2.728950023651123
1770765815972,,,,-3.8710501194000244
1770765815973,1.812366612228768,6.02400016784668,-4.3720502853393555,
1770765815999,,7.369950294494629,-3.0700502395629883,-4.872000217437744
1770765816029,,,,-6.033000469207764
1770765816030,,5.514000415802002,-5.079000473022461,
1770765816055,,,,-4.932000160217285
1770765816056,1.600282185227711,5.6509504318237305,-4.726950168609619,
1770765816079,,6.484050273895264,-7.473000526428223,-8.374950408935547
1770765816116,,,-4.531050205230713,-5.587950229644775
1770765816117,1.0073947484245898,6.268050193786621,-5.167050361633301,
1770765816145,,4.047000408172607,-2.8950002193450928,-4.932000160217285
1770765816177,2.7626166064478057,8.359050750732422,-7.369950294494629,-4.999050140380859
1770765816208,,,-5.764050483703613,-3.4729502201080322
1770765816209,,7.150050163269043,,
1770765816236,,,-5.500050067901611,-6.736950397491455
1770765816237,2.5192212291095615,5.077950477600098,,
1770765816269,,,-5.586000442504883,-0.8400000333786011
1770765816270,,5.835000514984131,,
1770765816299,,,-7.44195032119751,-1.9480501413345337
1770765816300,,5.635950088500977,,
1770765816317,,,,-4.170000076293945
1770765816318,,6.6850504875183105,-6.823950290679932,
1770765816319,1.955534280615493,,,
1770765816337,,8.847000122070312,-8.433000564575195,-2.7169501781463623
1770765816377,2.752698614592735,10.65195083618164,-5.160000324249268,-2.808000087738037
1770765816407,,6.583950519561768,-6.072000503540039,-4.41195011138916
1770765816438,,4.53000020980835,-4.449000358581543,-8.125950813293457
1770765816439,5.412519226744863,,,
1770765816464,,8.694000244140625,-1.5520501136779785,-9.265050888061523
1770765816501,,10.092000007629395,-2.275050163269043,-6.280050277709961
1770765816502,14.693017580640133,,,
1770765816520,,,,-2.1250500679016113
1770765816521,,9.03600025177002,-5.104950428009033,
1770765816577,,9.0,-5.158050060272217,-6.576000213623047
1770765816578,,10.018050193786621,,
1770765816582,,,-6.39300012588501,-1.218000054359436
1770765816583,4.999640451855228,5.425950050354004,,
1770765816608,,,-4.870050430297852,-2.647050142288208
1770765816609,,7.357950210571289,,
1770765816629,,7.91295051574707,-7.240950107574463,-2.616000175476074
1770765816642,3.425018817265185,4.003050327301025,-6.520050525665283,-1.2990000247955322
1770765816673,,5.7370500564575195,-7.474950313568115,-0.5190000534057617
1770765816689,,8.365950584411621,-7.324950218200684,-2.476950168609619
1770765816702,,5.3710503578186035,-7.150050163269043,-2.8819501399993896
1770765816703,1.640696424110279,,,
1770765816739,,4.7220001220703125,-6.3259501457214355,-4.1010003089904785
1770765816762,,,-5.538000106811523,-4.675050258636475
1770765816763,1.327732028044433,7.834050178527832,,
1770765816791,,7.806000232696533,-4.285950183868408,-2.889000177383423
1770765816811,,8.16195011138916,-2.9380500316619873,-3.9810001850128174
1770765816844,,,,-6.591000080108643
1770765816845,,,-3.2350502014160156,-7.398000240325928
1770765816846,,5.134050369262695,,
1770765816847,3.999754302108304,,,
1770765816875,,,-4.42995023727417,-6.463950157165527
1770765816876,,6.637050151824951,,
1770765816903,,,,-6.949950218200684
1770765816904,3.432892086476442,7.813050270080566,-3.4390501976013184,-7.173000335693359
1770765816941,,,-5.437950134277344,-5.611950397491455
1770765816942,,5.410950183868408,,
1770765816961,,5.93595027923584,-6.148950099945068,-3.945000171661377
1770765816965,,6.807000160217285,-5.44005012512207,-3.9790501594543457
1770765816966,1.2344367096360371,,,
1770765816991,,6.781050205230713,-6.871950149536133,-4.735050201416016
1770765817009,,9.723000526428223,-6.4170002937316895,-2.110949993133545
1770765817026,,,,0.44700002670288086
1770765817027,3.893163503988321,6.094050407409668,-5.697000503540039,
1770765817069,,8.241000175476074,-6.23805046081543,-4.048050403594971
1770765817107,,,-14.419050216674805,-3.9210002422332764
